"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";
"1";"";"GHI2_USB_HOST_W/CHASSIS_GND";"GHI2_USB_HOST_HORIZONTAL_W/CHASSIS_GND";"X1";"";"";"";"";"";"";"";
"1";".1uF";"CAPACITOR-(INCH)-0402";"0402";"C5";"Basic SMD ceramic capacitors";"";"";"";"";"";"";
"6";"0.1uF";"C_C0603";"C0603";"C1, C2, C3, C4, C6, C7";"Capacitor SMD.";"";"";"";"";"";"";
"5";"10K";"R_R0603";"R0603";"R1, R2, R3, R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";
"5";"3PIN_100MIL";"3PIN_100MIL";"3PIN_100MIL";"H1, H2, H3, H4, H5";"";"";"";"";"";"";"";
"1";"ICM-20948";"ICM-20948";"QFN40P300X300X105-25N";"U3";"Axis=3 Axis Gyro+3 Axis Accel+Compass. Pin For Pin With m";"Unavailable";" 9 Axis=3 Axis Gyro+3 Axis Accel+Compass. Pin For Pin With m ";"TDK InvenSense";"ICM-20948";"QFN-24 InvenSense";"None";
"1";"MS5611-01BA03";"MS5611-01BA03";"MS5611-01BA03";"U2";"";"";"";"";"";"";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";"";"";"";"";"";
"1";"STRAWSON_EAGLE_LIB_JST_SH_6";"STRAWSON_EAGLE_LIB_JST_SH_6";"STRAWSON_EAGLE_LIB_JST_SH_6";"6PIN1";"";"";"";"";"";"";"";
"1";"TPD4S012DRY";"TPD4S012DRYR";"SON-6(TI)-DRY";"IC1";"";"";"";"";"";"";"";
"1";"TXS0102DQER";"TXS0102DQER";"VOLTAGETRANSLATOR_TXS0102DQER";"U4";"IC TRANSLATOR VOLTAGE 8-X2SON";"Unavailable";" 2-Bit Bidirectional Voltage-Level Shifter for Open-Drain and Push-Pull Application 8-X2SON -40 to 85 ";"Texas Instruments";"TXS0102DQER";"XFDFN-8 Texas Instruments";"None";
